🕘️更新时间,#genre#
2025-09-15 18:51:17,https://mursor.ottiptv.cc/migu/624878271.m3u8?migutoken=1b985ac6fe2cd5f74f0c1ff136cf50494268aeeae08d04f1eeb21bc4d3b1eefc5052b710753f237da261c327fb2e778218f94b003c1808094c9b9c07b5afb9dbef930b52478f4af560dc4ad8f0$订阅源

📺央视频道,#genre#
CCTV-3,https://mursor.ottiptv.cc/migu/624878271.m3u8?migutoken=1b985ac6fe2cd5f74f0c1ff136cf50494268aeeae08d04f1eeb21bc4d3b1eefc5052b710753f237da261c327fb2e778218f94b003c1808094c9b9c07b5afb9dbef930b52478f4af560dc4ad8f0$订阅源
CCTV-4,https://mursor.ottiptv.cc/migu/631780421.m3u8?migutoken=b1cc8e73b946a6654a0a8b020aae6df1599b7bb51ce4cef179fc1ee10bd8cdcd9bf880cbdaeba2a5cfdba49a6b2679bcd62c7a1f5068b007f6141ecb9bd8a9cc42558367ac4790cfbd465078aa$订阅源
CCTV-5,https://ldcctvwbcdks.v.kcdnvip.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100$订阅源
CCTV-5,https://mursor.ottiptv.cc/migu/641886683.m3u8?migutoken=0b9a37cbf42b90322aa1f56be269ac87a552de03ebce6087a0cea7c6b9f911ad498da808b281c64107824bcaa78674ccdbd220ebf7183973117354475f48dcc83e87a475db112469336b8176f7$订阅源
CCTV-5+,https://mursor.ottiptv.cc/migu/641886773.m3u8?migutoken=8f9474b8a8d4aff34d41b6ed97d585362bf442920667303b23cb9e2ba9dfd89d9a8b55d364503cf11d94f5bb7d4461daa2f596977fd9a4f4f6b0a5aa7e1bdf1e40d1c291c295ec69a5ff8196a5$订阅源
CCTV-6,https://cc06.tv12.xyz/7.m3u8$订阅源
CCTV-6,https://mursor.ottiptv.cc/migu/624878396.m3u8?migutoken=4cdfa4097fad9bc02ebee00c9afeeee07dadd833361820101d1a5cdf8b9898963d0a053a9eaf3df4f9e676b9f9f841d99eaae697f42f00227bfb56762b96e6075d924e93a243bff141939d6a57$订阅源
CCTV-7,https://cc06.tv12.xyz/8.m3u8$订阅源
CCTV-8,https://mursor.ottiptv.cc/migu/624878356.m3u8?migutoken=ba5d9b687a61e56e6794184dc2d421f06bf6bb6410b413a60e136c6309ccd21cb8e50f00e382d10716e406d46ef72bf29f783857b731332d2fad0ac281373391221cdca4b12dd7956859bce55f$订阅源
CCTV-8,https://cc06.tv12.xyz/9.m3u8$订阅源
CCTV-9,https://mursor.ottiptv.cc/migu/673168140.m3u8?migutoken=937e669067a24a4255fbab8405e4088cda4e8bd79b1ab403599362f402c48259bb734a08175a0099f4dcca3006d81eab8ad7c9e13c202bc60db52bad53e6005ca7c6ae1144f5944aa94707de31$订阅源
CCTV-9,https://cc06.tv12.xyz/10.m3u8$订阅源
CCTV-10,https://mursor.ottiptv.cc/migu/624878405.m3u8?migutoken=58beee6ca325b6314af0bdec541cea3a98071929093c1d9b44943fe87f051115afa4c7fca03e5637a0de120d5fbccd31023d684070ba34610cea8dd0784578b27df8121507eb93109ead176272$订阅源
CCTV-10,https://cc06.tv12.xyz/11.m3u8$订阅源
CCTV-11,https://mursor.ottiptv.cc/migu/667987558.m3u8?migutoken=3ea15528e364aa95d8b639d12dea89efebc5a0e197771c02daa909c4d550c2346be854091ed7b62e94fca4d0053f8139868c2fc2a139eb977be861f7a33624d9f72f73cf082c7833ef6077944c$订阅源
CCTV-11,https://cc06.tv12.xyz/12.m3u8$订阅源
CCTV-12,https://mursor.ottiptv.cc/migu/673168185.m3u8?migutoken=4e0c8c41591cb87f17eb7d4cea2de9beb0d176bfe5b4c38f8f97b7241c7721b8eada31b45a4d8b917ce561e9c6636a500b52345a1ea4f029bfdb402dfe4ac1dc9722036b5d5f3856b0457d827b$订阅源
CCTV-12,https://cc06.tv12.xyz/13.m3u8$订阅源
